Metric,Value
design__critical_disconnected_pin__count,0
route__wirelength__max,1799.61
timing__unannotated_net__count__corner:nom_tt_025C_1v80,8197
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,8197
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,8197
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,3
design__max_fanout_violation__count__corner:min_tt_025C_1v80,58
design__max_cap_violation__count__corner:min_tt_025C_1v80,17
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4740752369299268
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.48956307060607857
timing__hold__ws__corner:min_tt_025C_1v80,0.3266371710006629
timing__setup__ws__corner:min_tt_025C_1v80,24.434819303981183
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.326637
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,41.876217
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,8197
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,360
design__max_fanout_violation__count__corner:min_ss_100C_1v60,58
design__max_cap_violation__count__corner:min_ss_100C_1v60,17
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.650308270084851
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6731635439607807
timing__hold__ws__corner:min_ss_100C_1v60,0.8869465413165625
timing__setup__ws__corner:min_ss_100C_1v60,-2.65514195922617
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-92.38578519248881
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-2.65514195922617
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.886947
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,129
timing__setup_r2r__ws__corner:min_ss_100C_1v60,0.202256
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,8197
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,58
design__max_cap_violation__count__corner:min_ff_n40C_1v95,17
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.3979515440926752
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.41629764702656175
timing__hold__ws__corner:min_ff_n40C_1v95,0.11424850278094222
timing__setup__ws__corner:min_ff_n40C_1v95,34.82263465035024
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.114248
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,50.484859
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,8197
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,9
design__max_fanout_violation__count__corner:max_tt_025C_1v80,58
design__max_cap_violation__count__corner:max_tt_025C_1v80,24
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.4881246656146933
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.5156384354337015
timing__hold__ws__corner:max_tt_025C_1v80,0.33317549662220186
timing__setup__ws__corner:max_tt_025C_1v80,23.408593059840246
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.333176
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,40.957256
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,8197
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1299
design__max_fanout_violation__count__corner:max_ss_100C_1v60,58
design__max_cap_violation__count__corner:max_ss_100C_1v60,23
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.6705578504482914
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.7110547907290602
timing__hold__ws__corner:max_ss_100C_1v60,0.898772193220112
timing__setup__ws__corner:max_ss_100C_1v60,-4.2928364300599995
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-406.03437139559145
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-4.2928364300599995
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.898772
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,290
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-1.998053
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,41
timing__unannotated_net__count__corner:max_ss_100C_1v60,8197
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,3
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,58
design__max_cap_violation__count__corner:max_ff_n40C_1v95,24
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.4129083580811304
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4334225045988215
timing__hold__ws__corner:max_ff_n40C_1v95,0.12178502995215272
timing__setup__ws__corner:max_ff_n40C_1v95,34.15537460646756
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.121785
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,49.877277
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,8197
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,8197
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.78965
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79935
